fecha,origen,edad,motivo,transporte,dias,acompañante,frecuencia,alojamiento
2025-06-05 12:04:11,Rafaela Santa Fe,18 a 29,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con familiares,Primera vez,Hotel 3*
2025-10-16 05:18:14,Capital/San Luis,30 a 49,Vacaciones / Descanso,Automóvil,4 a 7 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-08-11 22:32:34,Salta /Tartagal,50 a 64,Turismo termal / Bienestar,Automóvil,4 a 7 días,Con familiares,Una vez al año,Hotel 2*
2025-08-06 12:11:28,Santiago,30 a 49,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Con amigos,2 o 3 veces al año,Apart Hotel
2025-09-28 07:51:29,Santiago capital ,50 a 64,Turismo termal / Bienestar,Automóvil,Más de una semana,Con familiares,Mas de 3 veces ,Hotel 2*
2025-06-18 05:24:43,Córdoba capital,30 a 49,Vacaciones / Descanso,Automóvil,1 día (excursión),Con amigos,Una vez al año,Hotel 2*
2025-06-27 14:30:00,Maipú/Mendoza ,50 a 64,Turismo termal / Bienestar,Colectivo de Tours,2 a 3 días,Con familiares,Una vez al año,Hotel 3*
2025-06-20 01:15:42,Posadas/Misiones ,50 a 64,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-09-24 21:49:36,San Juan ,50 a 64,Turismo termal / Bienestar,Colectivo de Tours,4 a 7 días,Con amigos,Una vez al año,Hotel 2*
2025-09-18 15:45:57,Capital/San Luis,18 a 29,Trabajo o negocios,Colectivo de Línea,Más de una semana,Con familiares,Primera vez,Hotel 2*
2025-11-03 14:38:25,Posadas misiones ,30 a 49,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Turistas,Primera vez,Hotel 2*
2025-08-03 19:48:07,Rafaela Santa Fe,30 a 49,Eventos deportivos o actividades culturales,Colectivo de Línea,4 a 7 días,Con amigos,Una vez al año,Hotel 3*
2025-06-16 17:46:41,San Juan ,50 a 64,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,Primera vez,Cabañas
2025-07-28 01:52:14,Salta /Tartagal,50 a 64,Vacaciones / Descanso,Automóvil,2 a 3 días,Con familiares,Una vez al año,Hotel 3*
2025-10-21 10:39:56,Jujuy - Perico,30 a 49,Vacaciones / Descanso,Automóvil,1 día (excursión),Con familiares,2 o 3 veces al año,Hotel 3*
2025-07-11 13:23:50,Capital/San Luis,30 a 49,Turismo termal / Bienestar,Colectivo de Tours,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 2*
2025-07-13 01:33:51,Metán/Salta,18 a 29,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,Primera vez,Hotel 2*
2025-10-27 18:30:44,Bs As Moron,50 a 64,Trabajo o negocios,Colectivo de Tours,Más de una semana,Con familiares,Una vez al año,Hotel 4*
2025-09-18 16:12:05,Bs As capital,65 o más,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Con amigos,Primera vez,Hotel 2*
2025-10-17 06:18:23,San Miguel/Tucumán ,18 a 29,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
2025-10-08 16:03:48,Santa Rosa/La Pampa ,50 a 64,Vacaciones / Descanso,Automóvil,2 a 3 días,Solo/a,Una vez al año,Hotel 3*
2025-05-31 13:52:33,Jujuy - Perico,18 a 29,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,2 o 3 veces al año,Cabañas
2025-10-08 00:42:04,Bs As Moron,18 a 29,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con amigos,Una vez al año,Hotel 4*
2025-10-05 16:46:47,Buenos Aires ,65 o más,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,Una vez al año,Hotel 4*
2025-10-04 00:00:37,Capital/San Luis,30 a 49,Vacaciones / Descanso,Automóvil,2 a 3 días,Con familiares,Mas de 3 veces ,Hotel 3*
2025-07-16 01:54:22,Rafaela Santa Fe,30 a 49,Turismo termal / Bienestar,Colectivo de Tours,2 a 3 días,Turistas,4 o más veces,Hotel 4*
2025-07-13 03:39:51,Yerba Buena/Tucumán ,30 a 49,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,Primera vez,Hotel 4*
2025-07-26 16:30:52,Bs As Moron,30 a 49,Vacaciones / Descanso,Automóvil,4 a 7 días,Con familiares,Una vez al año,Apart Hotel
2025-10-29 15:56:53,Posadas misiones ,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Línea,Más de una semana,Con amigos,2 o 3 veces al año,Apart Hotel
2025-11-03 04:22:22,Yerba Buena/Tucumán ,50 a 64,Turismo termal / Bienestar,Automóvil,4 a 7 días,Turistas,2 o 3 veces al año,Hotel 2*
2025-08-18 15:17:53,Posadas/Misiones ,50 a 64,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
2025-07-31 16:26:24,Yerba Buena/Tucumán ,50 a 64,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Con familiares,Una vez al año,Hotel 2*
2025-10-08 19:55:03,San Miguel/Tucumán ,30 a 49,Trabajo o negocios,Automóvil,4 a 7 días,Con amigos,Una vez al año,Cabañas
2025-09-03 11:18:18,Yerba Buena/Tucumán ,50 a 64,Trabajo o negocios,Automóvil,4 a 7 días,Con amigos,4 o más veces,Hotel 2*
2025-06-03 14:04:04,Maipú/Mendoza ,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Tours,4 a 7 días,Turistas,Primera vez,Hotel 4*
2025-07-01 14:49:04,Rafaela Santa Fe,50 a 64,Vacaciones / Descanso,Automóvil,4 a 7 días,Con amigos,Primera vez,Hotel 3*
2025-08-02 10:33:09,Leones cordoba,65 o más,Eventos deportivos o actividades culturales,Automóvil,4 a 7 días,Con amigos,Primera vez,Hotel 3*
2025-05-30 21:46:53,Santiago capital ,50 a 64,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con familiares,Primera vez,Hotel 3*
2025-09-22 01:05:04,Posadas misiones ,30 a 49,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,Primera vez,Hotel 2*
2025-08-07 14:31:22,Bs As Moron,18 a 29,Turismo termal / Bienestar,Automóvil,Más de una semana,Con familiares,Una vez al año,Hotel 2*
2025-09-14 02:19:08,Santa Rosa/La Pampa ,50 a 64,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-07-11 06:07:49,Rafaela Santa Fe,65 o más,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con amigos,4 o más veces,Hotel 4*
2025-08-22 16:53:14,San Miguel/Tucumán ,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 1*
2025-06-24 12:51:07,Santiago capital ,50 a 64,Trabajo o negocios,Automóvil,4 a 7 días,Con familiares,Primera vez,Hotel 2*
2025-08-30 15:42:29,Posadas/Misiones ,30 a 49,Trabajo o negocios,Automóvil,2 a 3 días,Con familiares,Mas de 3 veces ,Hotel 4*
2025-06-06 22:43:40,San Pedro/Jujuy,30 a 49,Vacaciones / Descanso,Automóvil,1 día (excursión),Con amigos,Primera vez,Hotel 3*
2025-07-22 09:57:02,Yerba Buena/Tucumán ,65 o más,Eventos deportivos o actividades culturales,Colectivo de Tours,4 a 7 días,Con amigos,2 o 3 veces al año,Hotel 2*
2025-10-17 02:32:55,Santa Rosa/La Pampa ,50 a 64,Turismo termal / Bienestar,Colectivo de Línea,Más de una semana,Con amigos,Primera vez,Hotel 4*
2025-10-30 01:02:25,Rosario/Santa Fe,30 a 49,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-07-22 19:47:00,Buenos Aires ,65 o más,Turismo termal / Bienestar,Colectivo de Línea,4 a 7 días,Con familiares,Una vez al año,Hotel 3*
2025-07-15 04:32:20,Metán/Salta,50 a 64,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con familiares,Una vez al año,Hotel 2*
2025-10-10 17:22:14,Yerba Buena/Tucumán ,30 a 49,Eventos deportivos o actividades culturales,Colectivo de Tours,2 a 3 días,Turistas,2 o 3 veces al año,Hotel 3*
2025-09-11 00:05:35,Buenos Aires ,30 a 49,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,4 o más veces,Hotel 2*
2025-07-17 17:49:19,Rafaela Santa Fe,50 a 64,Vacaciones / Descanso,Automóvil,4 a 7 días,Con amigos,2 o 3 veces al año,Hotel 4*
2025-10-01 21:06:51,Buenos Aires ,30 a 49,Trabajo o negocios,Automóvil,4 a 7 días,Con familiares,Primera vez,Hotel 3*
2025-07-01 07:31:14,Yerba Buena/Tucumán ,50 a 64,Turismo termal / Bienestar,Automóvil,1 día (excursión),Con familiares,2 o 3 veces al año,Hotel 3*
2025-08-27 02:26:39,Santa Rosa/La Pampa ,65 o más,Turismo termal / Bienestar,Colectivo de Tours,4 a 7 días,Con familiares,2 o 3 veces al año,Hotel 3*
2025-08-09 13:11:36,Bs As Moron,50 a 64,Turismo termal / Bienestar,Colectivo de Línea,2 a 3 días,Con familiares,Una vez al año,Hotel 3*
2025-10-10 00:05:28,Capital/San Luis,18 a 29,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Una vez al año,Hotel 3*
2025-10-24 16:19:37,Posadas misiones ,30 a 49,Trabajo o negocios,Colectivo de Línea,2 a 3 días,Con familiares,Primera vez,Hotel 4*
2025-10-11 01:13:29,Santiago,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,Primera vez,Hotel 3*
2025-10-03 02:20:17,Salta /Tartagal,30 a 49,Trabajo o negocios,Automóvil,4 a 7 días,Con familiares,Primera vez,Apart Hotel
2025-06-05 02:01:19,San Pedro/Jujuy,50 a 64,Turismo termal / Bienestar,Colectivo de Tours,2 a 3 días,Con familiares,2 o 3 veces al año,Cabañas
2025-08-19 14:03:51,Metán/Salta,30 a 49,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Una vez al año,Hotel 2*
2025-07-05 09:06:23,San Miguel/Tucumán ,50 a 64,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Con amigos,Mas de 3 veces ,Hotel 1*
2025-09-19 00:27:07,San Pedro/Jujuy,50 a 64,Turismo termal / Bienestar,Colectivo de Tours,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 3*
2025-07-10 18:15:18,Chacabuco bs as,65 o más,Turismo termal / Bienestar,Colectivo de Línea,4 a 7 días,Solo/a,Una vez al año,Hotel 4*
2025-07-27 04:45:04,Santa Rosa/La Pampa ,30 a 49,Turismo termal / Bienestar,Automóvil,4 a 7 días,Con amigos,Primera vez,Hotel 2*
2025-07-24 10:33:19,Salta /Tartagal,50 a 64,Vacaciones / Descanso,Automóvil,2 a 3 días,Con familiares,4 o más veces,Hotel 2*
2025-09-11 16:09:03,Córdoba capital,65 o más,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,4 o más veces,Hotel 2*
2025-11-03 11:37:37,Rafaela Santa Fe,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Tours,Más de una semana,Con amigos,Primera vez,Cabañas
2025-10-19 07:58:01,San Pedro/Jujuy,65 o más,Trabajo o negocios,Colectivo de Tours,2 a 3 días,Con familiares,Una vez al año,Hotel 3*
2025-10-27 18:21:44,San Miguel/Tucumán ,30 a 49,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Con familiares,Una vez al año,Hotel 3*
2025-10-23 16:09:22,Santiago capital ,30 a 49,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con amigos,Primera vez,Hotel 3*
2025-07-16 14:48:59,Metán/Salta,50 a 64,Eventos deportivos o actividades culturales,Automóvil,4 a 7 días,Con familiares,Una vez al año,Apart Hotel
2025-07-26 11:02:39,San Juan ,18 a 29,Vacaciones / Descanso,Automóvil,4 a 7 días,Con amigos,Primera vez,Hotel 2*
2025-10-14 00:51:56,Concepción/Tucumán ,30 a 49,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con amigos,Primera vez,Hotel 2*
2025-09-02 15:51:31,Rosario/Santa Fe,30 a 49,Eventos deportivos o actividades culturales,Colectivo de Línea,1 día (excursión),Con amigos,4 o más veces,Hotel 3*
2025-06-01 02:47:38,Jujuy - Perico,50 a 64,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,4 o más veces,Hotel 3*
2025-07-24 02:25:39,Posadas/Misiones ,50 a 64,Eventos deportivos o actividades culturales,Automóvil,Más de una semana,Con familiares,4 o más veces,Hotel 3*
2025-11-07 03:11:21,Bs As Moron,50 a 64,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con amigos,2 o 3 veces al año,Apart Hotel
2025-06-18 16:25:41,Santa Rosa/La Pampa ,30 a 49,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Con amigos,2 o 3 veces al año,Apart Hotel
2025-09-13 15:27:37,Yerba Buena/Tucumán ,18 a 29,Eventos deportivos o actividades culturales,Colectivo de Tours,2 a 3 días,Con familiares,Primera vez,Hotel 2*
2025-07-11 23:01:09,Salta - Tartagal,50 a 64,Vacaciones / Descanso,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-10-26 17:38:05,Santa Rosa/La Pampa ,18 a 29,Turismo termal / Bienestar,Automóvil,4 a 7 días,Con familiares,4 o más veces,Hotel 3*
2025-07-09 10:07:27,Chacabuco bs as,50 a 64,Vacaciones / Descanso,Automóvil,4 a 7 días,Con familiares,Mas de 3 veces ,Hotel 3*
2025-06-03 04:16:29,Posadas/Misiones ,50 a 64,Turismo termal / Bienestar,Colectivo de Tours,4 a 7 días,Con familiares,2 o 3 veces al año,Hotel 3*
2025-06-27 22:53:31,Santiago,30 a 49,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
2025-09-28 07:40:00,Metán/Salta,30 a 49,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con familiares,Primera vez,Cabañas
2025-10-16 11:27:45,San Miguel/Tucumán ,30 a 49,Turismo termal / Bienestar,Colectivo de Línea,4 a 7 días,Con amigos,Primera vez,Hotel 2*
2025-09-08 22:22:25,San Miguel/Tucumán ,30 a 49,Eventos deportivos o actividades culturales,Colectivo de Tours,2 a 3 días,Con amigos,4 o más veces,Hotel 3*
2025-10-22 18:12:51,Santiago capital ,30 a 49,Turismo termal / Bienestar,Automóvil,4 a 7 días,Con amigos,Una vez al año,Hotel 2*
2025-07-13 01:41:46,San Pedro/Jujuy,50 a 64,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con familiares,Primera vez,Hotel 2*
2025-10-18 23:16:19,San Pedro/Jujuy,18 a 29,Turismo termal / Bienestar,Colectivo de Línea,4 a 7 días,Con amigos,Primera vez,Hotel 3*
2025-09-13 23:29:19,Salta - Tartagal,30 a 49,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,Primera vez,Hotel 2*
2025-08-02 00:21:54,Posadas misiones ,65 o más,Trabajo o negocios,Colectivo de Línea,2 a 3 días,Con amigos,Mas de 3 veces ,Hotel 1*
2025-08-12 02:10:15,Santiago capital ,50 a 64,Trabajo o negocios,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-08-16 03:47:37,Rosario/Santa Fe,50 a 64,Vacaciones / Descanso,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-08-24 12:27:16,Yerba Buena/Tucumán ,18 a 29,Trabajo o negocios,Automóvil,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 2*
2025-09-28 22:52:15,San Pedro/Jujuy,50 a 64,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Primera vez,Hotel 3*
2025-09-01 18:42:19,"Córdoba, Córdoba ",18 a 29,Vacaciones / Descanso,Colectivo de Línea,Más de una semana,Con amigos,4 o más veces,Hotel 3*
2025-10-29 15:00:10,Posadas/Misiones ,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Tours,4 a 7 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-06-10 19:39:43,Chacabuco bs as,30 a 49,Eventos deportivos o actividades culturales,Colectivo de Tours,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
2025-07-17 13:48:11,Bs As Moron,65 o más,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,4 o más veces,Hotel 3*
2025-08-29 11:07:59,Salta /Tartagal,50 a 64,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-11-04 11:40:13,Bs As capital,50 a 64,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Primera vez,Hotel 2*
2025-10-13 00:13:14,Córdoba capital,50 a 64,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Con familiares,2 o 3 veces al año,Apart Hotel
2025-09-13 04:55:32,Capital/San Luis,30 a 49,Vacaciones / Descanso,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 3*
2025-07-10 09:15:19,Concepción/Tucumán ,65 o más,Vacaciones / Descanso,Automóvil,4 a 7 días,Con amigos,4 o más veces,Hotel 3*
2025-10-21 23:30:07,Santiago capital ,30 a 49,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 3*
2025-10-18 15:27:12,Salta /Tartagal,30 a 49,Eventos deportivos o actividades culturales,Colectivo de Tours,4 a 7 días,Con familiares,Una vez al año,Hotel 3*
2025-09-27 17:55:11,Salta /Tartagal,50 a 64,Vacaciones / Descanso,Colectivo de Tours,Más de una semana,Con amigos,Primera vez,Hotel 2*
2025-10-04 06:33:58,San Miguel/Tucumán ,65 o más,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,Una vez al año,Apart Hotel
2025-06-11 07:41:58,Maipú/Mendoza ,30 a 49,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,4 o más veces,Hotel 4*
2025-06-01 17:07:30,Santiago capital ,18 a 29,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,4 o más veces,Hotel 3*
2025-11-02 21:09:12,San Fernando/Catamarca,30 a 49,Turismo termal / Bienestar,Automóvil,Más de una semana,Con amigos,Una vez al año,Hotel 2*
2025-06-05 02:18:19,Bs As Moron,30 a 49,Vacaciones / Descanso,Automóvil,4 a 7 días,Solo/a,Una vez al año,Hotel 2*
