fecha,edad,ActGrales,ActFyDep,OfCultEnt,VidaNoct
03/09/2025 15:18:59,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
12/06/2025 04:03:27,50 a 64,Salidas nocturnas / bares / casino,Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
09/06/2025 17:15:15,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",No salí de noche
20/08/2025 13:12:09,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,No me interesaba,Buena
15/10/2025 19:42:55,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
22/08/2025 15:23:14,50 a 64,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Buena
23/09/2025 23:57:24,50 a 64,Salidas nocturnas / bares / casino,Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
21/06/2025 19:59:28,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Regular
22/08/2025 13:41:00,30 a 49,"Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
17/09/2025 10:13:23,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas",Poca variedad,Poco atractiva
28/07/2025 05:59:08,65 o más,"Baños termales / Spa, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.)",Bochas,Muy variada y de calidad,Muy activa y divertida
25/07/2025 08:31:58,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
02/07/2025 13:45:21,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
18/08/2025 17:51:32,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Regular
07/07/2025 00:34:43,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Muy variada y de calidad,Buena
31/05/2025 17:28:31,18 a 29,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
28/07/2025 19:16:54,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Regular
20/08/2025 06:08:58,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,Muy variada y de calidad,Buena
29/09/2025 16:56:21,30 a 49,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,No salí de noche
06/07/2025 08:52:03,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Natación / pileta,Poca variedad,Muy activa y divertida
04/09/2025 09:18:57,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,No salí de noche
18/09/2025 10:06:41,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Bochas,Muy variada y de calidad,Buena
30/08/2025 20:28:20,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Regular
19/09/2025 14:32:05,50 a 64,Baños termales / Spa,Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
04/11/2025 21:05:17,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
07/09/2025 16:32:03,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Buena
02/07/2025 22:26:36,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",No salí de noche
05/10/2025 23:21:47,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino",Natación / pileta,"Buena, aunque puede mejorar",Buena
22/09/2025 03:10:57,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,Muy variada y de calidad,Regular
08/08/2025 22:29:11,65 o más,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,"Buena, aunque puede mejorar",Buena
24/09/2025 19:29:04,18 a 29,"Baños termales / Spa, Consumir Gastronomía Regional",Bochas,Muy variada y de calidad,Buena
18/08/2025 01:24:29,65 o más,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
05/08/2025 02:21:02,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Muy activa y divertida
13/08/2025 03:22:58,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,Muy variada y de calidad,Buena
08/06/2025 01:06:34,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
10/08/2025 03:20:35,18 a 29,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
27/08/2025 16:01:35,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
05/10/2025 12:38:06,65 o más,"Baños termales / Spa, Visita a museos o espacios culturales",Natación / pileta,"Buena, aunque puede mejorar",Buena
17/06/2025 10:08:43,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,Muy variada y de calidad,Buena
22/07/2025 02:12:18,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
04/10/2025 06:50:17,18 a 29,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Poca variedad,Muy activa y divertida
31/07/2025 09:47:02,18 a 29,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
22/10/2025 01:19:47,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
05/10/2025 13:48:50,18 a 29,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
26/07/2025 13:42:41,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Poca variedad,Buena
24/09/2025 09:06:31,18 a 29,Salidas nocturnas / bares / casino,Natación / pileta,Muy variada y de calidad,Buena
10/07/2025 20:38:33,65 o más,Salidas nocturnas / bares / casino,Caminatas / senderismo,Muy variada y de calidad,Buena
10/06/2025 17:57:34,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
29/09/2025 18:58:17,30 a 49,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
08/07/2025 08:37:00,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Natación / pileta",Poca variedad,Muy activa y divertida
25/06/2025 15:43:27,18 a 29,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Regular
23/09/2025 15:39:18,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,No salí de noche
24/07/2025 15:46:46,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Bochas,Muy variada y de calidad,Regular
27/09/2025 21:27:12,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,Muy variada y de calidad,Muy activa y divertida
07/09/2025 10:03:38,65 o más,"Baños termales / Spa, Salidas nocturnas / bares / casino",Natación / pileta,Poca variedad,Regular
18/10/2025 07:18:59,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
29/10/2025 18:39:16,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Bochas,"Buena, aunque puede mejorar",Buena
02/09/2025 13:04:13,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Regular
23/06/2025 00:00:11,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
31/10/2025 20:31:22,18 a 29,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
12/09/2025 03:09:13,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Muy activa y divertida
07/11/2025 11:42:22,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
09/09/2025 20:43:49,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta",Poca variedad,Buena
02/07/2025 06:19:56,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
14/09/2025 19:09:23,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Natación / pileta","Buena, aunque puede mejorar",Muy activa y divertida
07/11/2025 20:35:59,65 o más,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,Muy variada y de calidad,Regular
30/08/2025 17:30:44,65 o más,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,Muy variada y de calidad,No salí de noche
23/08/2025 19:30:12,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
03/06/2025 00:37:43,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Muy activa y divertida
30/07/2025 19:33:42,50 a 64,Baños termales / Spa,Natación / pileta,Poca variedad,Muy activa y divertida
05/06/2025 14:04:52,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
30/08/2025 13:30:19,18 a 29,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Regular
16/09/2025 05:35:01,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Buena
30/08/2025 10:14:21,30 a 49,"Baños termales / Spa, Visita a museos o espacios culturales",Caminatas / senderismo,Poca variedad,Regular
29/07/2025 10:14:03,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
05/06/2025 08:01:02,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
29/09/2025 17:10:25,30 a 49,"Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,Muy variada y de calidad,Muy activa y divertida
01/10/2025 10:01:00,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
07/06/2025 09:53:46,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
27/08/2025 18:17:55,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
26/07/2025 11:39:16,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
06/06/2025 01:43:55,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Poca variedad,Regular
02/08/2025 15:19:10,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
08/07/2025 04:19:34,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Regular
15/07/2025 18:16:06,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
14/09/2025 05:55:32,30 a 49,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
06/06/2025 17:07:44,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Muy activa y divertida
24/06/2025 08:05:37,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Natación / pileta,Muy variada y de calidad,Muy activa y divertida
10/10/2025 19:28:54,30 a 49,Baños termales / Spa,"Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta","Buena, aunque puede mejorar",Muy activa y divertida
13/07/2025 22:42:38,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Poca variedad,Regular
08/07/2025 01:51:35,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Buena
15/10/2025 23:58:05,18 a 29,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Muy activa y divertida
16/06/2025 12:46:10,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Natación / pileta,Poca variedad,Muy activa y divertida
25/10/2025 19:08:56,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Muy activa y divertida
28/09/2025 17:38:23,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
25/07/2025 00:57:54,50 a 64,Baños termales / Spa,"Caminatas / senderismo, Natación / pileta",Muy variada y de calidad,Buena
23/08/2025 03:11:14,18 a 29,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,No salí de noche
31/08/2025 02:21:09,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas",Muy variada y de calidad,Buena
09/10/2025 05:56:16,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino","Caminatas / senderismo, Bochas",Poca variedad,No salí de noche
05/08/2025 09:43:36,50 a 64,Salidas nocturnas / bares / casino,"Caminatas / senderismo, Bochas",Poca variedad,Regular
04/11/2025 17:34:18,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Bochas,"Buena, aunque puede mejorar",No salí de noche
20/09/2025 07:33:27,50 a 64,Baños termales / Spa,Caminatas / senderismo,Poca variedad,Muy activa y divertida
14/09/2025 15:24:14,30 a 49,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Bochas,"Buena, aunque puede mejorar",No salí de noche
27/10/2025 21:40:13,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
21/09/2025 07:38:06,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Poco atractiva
03/09/2025 02:59:40,65 o más,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Poca variedad,Buena
20/06/2025 14:40:42,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Buena
20/08/2025 01:36:48,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",No salí de noche
13/08/2025 02:27:43,50 a 64,"Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
01/09/2025 18:55:23,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
29/10/2025 22:33:42,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Bochas,Muy variada y de calidad,Muy activa y divertida
02/09/2025 23:03:23,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,Muy variada y de calidad,Buena
15/10/2025 01:48:25,30 a 49,Salidas nocturnas / bares / casino,"Caminatas / senderismo, Natación / pileta",Poca variedad,Buena
13/10/2025 01:20:57,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
12/06/2025 07:32:07,18 a 29,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,No salí de noche
29/10/2025 07:23:16,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
18/10/2025 08:49:08,65 o más,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Bochas,Muy variada y de calidad,No salí de noche
07/10/2025 07:15:31,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Buena
04/06/2025 05:39:59,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Bochas,"Buena, aunque puede mejorar",Regular
