fecha,alojamiento,HPAs,HLimp,HWifi,HGastro,HEntret,HSeguridad,HPyS,H$
04/09/2025 22:40:55,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
24/07/2025 19:53:59,Hotel 3*,Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
16/08/2025 15:50:27,Hotel 2*,Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Bueno
30/07/2025 02:31:51,Cabañas,Excelente,Excelente,Excelente,Excelente,Bueno,Excelente,Excelente,Muy Bueno
02/11/2025 17:53:24,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
08/09/2025 18:12:49,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Bueno,Excelente,Muy Bueno
01/10/2025 21:25:53,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno
18/09/2025 22:07:24,Hotel 4*,Excelente,Muy Bueno,Bueno,Bueno,Bueno,Bueno,Muy Bueno,Excelente
03/09/2025 04:39:11,Hotel 3*,Excelente,Muy Bueno,Regular,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente
12/10/2025 11:06:51,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno
07/07/2025 19:05:31,Hotel 3*,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
08/08/2025 07:13:53,Hotel 2*,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente
12/06/2025 18:53:46,Hotel 3*,Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Bueno,Muy Bueno,Excelente
20/10/2025 16:47:45,Hotel 2*,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
12/07/2025 13:48:44,Hotel 3*,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
29/10/2025 04:46:39,Hotel 3*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
01/06/2025 22:26:10,Hotel 3*,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno
20/07/2025 00:27:48,Hotel 2*,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
29/08/2025 20:03:50,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
31/08/2025 03:01:29,Hotel 2*,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno,Bueno
20/10/2025 04:57:03,Hotel 4*,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno
14/09/2025 12:37:17,Hotel 2*,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
10/10/2025 06:06:32,Cabañas,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente
04/11/2025 11:18:26,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno,Excelente,Excelente
05/10/2025 07:22:55,Hotel 2*,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente
10/10/2025 20:24:19,Hotel 2*,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno
28/08/2025 21:31:55,Apart Hotel,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Bueno
21/09/2025 17:29:40,Hotel 3*,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno
06/09/2025 17:31:53,Hotel 3*,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
26/06/2025 09:36:46,Hotel 2*,Bueno,Bueno,Excelente,Bueno,Excelente,Bueno,Excelente,Excelente
02/08/2025 21:58:54,Cabañas,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente
14/07/2025 10:23:45,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Excelente,Bueno
05/10/2025 00:15:24,Hotel 3*,Excelente,Muy Bueno,Bueno,Muy Bueno,Bueno,Excelente,Bueno,Muy Bueno
17/07/2025 15:24:10,Hotel 4*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
30/09/2025 20:02:55,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno,Bueno,Excelente,Muy Bueno
06/07/2025 07:24:27,Hotel 4*,Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Bueno,Excelente,Excelente
12/10/2025 23:46:48,Hotel 3*,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno
21/08/2025 12:32:37,Hotel 2*,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno
04/09/2025 19:14:29,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
22/06/2025 22:23:35,Hotel 2*,Excelente,Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente
28/07/2025 19:18:57,Hotel 3*,Muy Bueno,Excelente,Regular,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
18/08/2025 04:12:54,Hotel 2*,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
03/09/2025 09:01:39,Hotel 3*,Bueno,Muy Bueno,Bueno,Excelente,Bueno,Excelente,Muy Bueno,Excelente
19/09/2025 21:12:39,Hotel 2*,Excelente,Excelente,Regular,Excelente,Excelente,Excelente,Excelente,Excelente
04/08/2025 23:31:53,Hotel 2*,Excelente,Excelente,Bueno,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno
31/07/2025 08:18:07,Hotel 3*,Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente
26/07/2025 17:33:26,Hotel 2*,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
12/09/2025 21:15:26,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Bueno
09/09/2025 09:15:05,Hotel 2*,Excelente,Excelente,Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente
02/07/2025 05:07:51,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
12/06/2025 17:07:59,Hotel 3*,Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente
28/10/2025 12:15:41,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno
16/10/2025 16:48:05,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
14/06/2025 18:39:42,Hotel 2*,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno
08/08/2025 19:10:49,Hotel 4*,Bueno,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
08/06/2025 20:35:23,Hotel 2*,Excelente,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Bueno
04/10/2025 16:58:21,Hotel 3*,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno
06/07/2025 04:21:31,Hotel 4*,Muy Bueno,Bueno,Regular,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno
05/09/2025 23:38:02,Hotel 3*,Excelente,Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
28/07/2025 22:21:18,Hotel 2*,Bueno,Excelente,Excelente,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente
16/08/2025 02:00:24,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Bueno
28/10/2025 16:53:28,Hotel 3*,Bueno,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno
21/06/2025 18:41:59,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
10/09/2025 00:05:34,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Bueno,Excelente
22/09/2025 12:23:26,Hotel 4*,Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno
18/07/2025 16:14:13,Hotel 2*,Muy Bueno,Excelente,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente
25/10/2025 22:08:34,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Excelente,Excelente
23/07/2025 23:17:06,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
31/10/2025 19:52:21,Cabañas,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Bueno,Excelente,Bueno
05/09/2025 20:58:20,Hotel 3*,Excelente,Bueno,Muy Bueno,Bueno,Bueno,Excelente,Excelente,Excelente
27/06/2025 13:20:22,Apart Hotel,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente
21/06/2025 01:36:56,Hotel 3*,Muy Bueno,Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Bueno
28/06/2025 22:19:09,Hotel 3*,Excelente,Muy Bueno,Regular,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
28/08/2025 02:30:15,Hotel 3*,Bueno,Excelente,Excelente,Excelente,Bueno,Bueno,Excelente,Excelente
17/09/2025 06:47:02,Hotel 2*,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente
14/08/2025 18:38:00,Cabañas,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente
21/10/2025 23:19:50,Hotel 4*,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Excelente
21/07/2025 13:00:13,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
07/10/2025 09:59:36,Hotel 2*,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno
14/06/2025 21:01:07,Hotel 3*,Excelente,Muy Bueno,Regular,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente
18/07/2025 00:45:17,Hotel 2*,Bueno,Bueno,Excelente,Bueno,Muy Bueno,Bueno,Excelente,Excelente
28/08/2025 00:30:33,Hotel 2*,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
02/08/2025 00:09:30,Hotel 3*,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
24/09/2025 18:54:23,Hotel 4*,Excelente,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Excelente
20/10/2025 12:56:37,Hotel 2*,Excelente,Muy Bueno,Regular,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
02/07/2025 11:54:11,Hotel 3*,Bueno,Muy Bueno,Excelente,Excelente,Bueno,Bueno,Muy Bueno,Excelente
29/07/2025 13:57:08,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente
30/10/2025 03:45:59,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Bueno,Excelente
18/06/2025 02:59:38,Hotel 2*,Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
13/06/2025 02:06:31,Hotel 3*,Excelente,Muy Bueno,Bueno,Excelente,Bueno,Excelente,Excelente,Excelente
10/08/2025 13:04:29,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Excelente,Bueno,Excelente,Bueno,Bueno
02/08/2025 23:33:33,Hotel 3*,Bueno,Bueno,Excelente,Excelente,Muy Bueno,Excelente,Bueno,Bueno
17/07/2025 03:10:54,Hotel 4*,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente
02/06/2025 11:01:35,Hotel 2*,Muy Bueno,Bueno,Muy Bueno,Bueno,Bueno,Excelente,Excelente,Bueno
03/08/2025 11:15:17,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Excelente,Bueno,Muy Bueno,Excelente,Excelente
06/07/2025 21:00:47,Cabañas,Muy Bueno,Excelente,Excelente,Excelente,Bueno,Excelente,Excelente,Excelente
25/09/2025 03:32:33,Hotel 2*,Bueno,Excelente,Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
11/09/2025 03:08:38,Apart Hotel,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente
20/10/2025 21:37:51,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
05/08/2025 19:03:40,Hotel 2*,Muy Bueno,Muy Bueno,Regular,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
05/11/2025 19:19:23,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
10/09/2025 11:08:53,Apart Hotel,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
15/06/2025 10:56:50,Hotel 2*,Excelente,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Excelente,Excelente
21/10/2025 03:08:12,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Excelente
16/10/2025 03:18:41,Hotel 2*,Excelente,Bueno,Excelente,Bueno,Bueno,Muy Bueno,Excelente,Bueno
25/06/2025 04:48:32,Hotel 3*,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
14/08/2025 21:42:42,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente
08/11/2025 00:17:56,Hotel 2*,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno
10/08/2025 13:16:12,Hotel 2*,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
22/09/2025 13:09:24,Hotel 4*,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Bueno
20/06/2025 12:22:43,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente
04/06/2025 00:49:57,Cabañas,Excelente,Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente
29/07/2025 10:43:42,Apart Hotel,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Excelente
28/09/2025 09:32:52,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno
02/11/2025 05:09:30,Hotel 2*,Excelente,Excelente,Regular,Excelente,Muy Bueno,Bueno,Muy Bueno,Bueno
23/07/2025 11:00:10,Apart Hotel,Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
31/07/2025 00:37:16,Hotel 3*,Muy Bueno,Excelente,Excelente,Excelente,Bueno,Excelente,Excelente,Muy Bueno
06/09/2025 23:52:07,Hotel 2*,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
26/06/2025 23:29:06,Hotel 2*,Muy Bueno,Excelente,Excelente,Bueno,Muy Bueno,Bueno,Excelente,Excelente
15/10/2025 00:33:14,Cabañas,Excelente,Excelente,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno
12/06/2025 04:14:42,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Bueno,Muy Bueno
09/10/2025 20:39:26,Hotel 1*,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
13/10/2025 03:19:12,Hotel 2*,Excelente,Bueno,Excelente,Bueno,Bueno,Bueno,Bueno,Muy Bueno
06/11/2025 14:11:21,Hotel 2*,Excelente,Bueno,Regular,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
28/07/2025 12:14:59,Hotel 3*,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente,Bueno
16/06/2025 20:53:41,Hotel 2*,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Excelente,Excelente
13/09/2025 22:58:31,Hotel 4*,Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno
24/08/2025 06:04:20,Hotel 3*,Muy Bueno,Excelente,Regular,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Bueno
18/08/2025 17:31:58,Hotel 2*,Excelente,Bueno,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Excelente
25/07/2025 19:05:22,Hotel 2*,Excelente,Excelente,Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno
05/06/2025 14:09:03,Hotel 4*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno
08/09/2025 04:55:45,Hotel 3*,Excelente,Muy Bueno,Bueno,Bueno,Bueno,Excelente,Muy Bueno,Excelente
10/07/2025 14:27:20,Hotel 3*,Excelente,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente,Bueno
03/10/2025 04:36:31,Hotel 3*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Excelente,Excelente
02/09/2025 04:41:06,Cabañas,Muy Bueno,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente
05/07/2025 13:58:39,Hotel 1*,Muy Bueno,Muy Bueno,Regular,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
11/06/2025 15:45:11,Hotel 2*,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Excelente
25/10/2025 21:22:35,Hotel 2*,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Excelente,Excelente,Bueno
10/08/2025 14:19:26,Hotel 2*,Excelente,Muy Bueno,Regular,Excelente,Muy Bueno,Bueno,Excelente,Bueno
12/09/2025 18:22:58,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Excelente
28/07/2025 00:41:04,Hotel 2*,Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
21/10/2025 07:32:19,Hotel 4*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente,Excelente
14/08/2025 17:05:51,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Excelente
04/06/2025 14:56:02,Hotel 2*,Muy Bueno,Bueno,Regular,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
23/06/2025 06:21:58,Hotel 4*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente
16/10/2025 17:02:34,Hotel 2*,Excelente,Excelente,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno
21/10/2025 17:26:11,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Excelente
14/10/2025 21:48:31,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Excelente
16/09/2025 00:29:04,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente
04/11/2025 21:42:41,Hotel 2*,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Bueno,Excelente
11/08/2025 16:03:36,Hotel 4*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
05/08/2025 18:39:25,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente
12/07/2025 06:10:22,Hotel 2*,Muy Bueno,Excelente,Excelente,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno
03/07/2025 12:09:12,Hotel 3*,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
20/07/2025 07:32:32,Hotel 2*,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno
