fecha,edad,CityAcc,CityCyV,CityPyP,CityEP,CityMus,CityPilP,CityPoli,CityCCul
12/08/2025 18:10:56,65 o más,Excelente,Excelente,Muy Bueno,Bueno,Bueno,Bueno,Muy Bueno,Regular
18/09/2025 20:37:45,18 a 29,Muy Bueno,Regular,Excelente,Muy Bueno,Muy Bueno,Regular,Excelente,Bueno
07/11/2025 06:38:07,50 a 64,Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente,Bueno
11/10/2025 18:53:04,30 a 49,Excelente,Excelente,Bueno,Bueno,Excelente,Bueno,Muy Bueno,Excelente
11/09/2025 02:21:33,18 a 29,Bueno,Excelente,Excelente,Excelente,Regular,Muy Bueno,Bueno,Muy Bueno
05/09/2025 03:09:54,50 a 64,Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
11/09/2025 06:15:35,50 a 64,Muy Bueno,Excelente,Excelente,Bueno,Excelente,Excelente,Excelente,Excelente
06/06/2025 19:04:39,30 a 49,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno
14/08/2025 15:40:27,30 a 49,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno
03/08/2025 20:14:59,65 o más,Muy Bueno,Excelente,Excelente,Bueno,Excelente,Excelente,Excelente,Bueno
28/07/2025 20:00:37,18 a 29,Malo,Bueno,Bueno,Bueno,Regular,Bueno,Excelente,Excelente
16/07/2025 01:56:30,30 a 49,Bueno,Excelente,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Regular
25/06/2025 21:58:45,30 a 49,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Regular
23/08/2025 03:21:43,30 a 49,Muy Bueno,Regular,Bueno,Bueno,Muy Bueno,Bueno,Excelente,Excelente
03/10/2025 13:32:25,18 a 29,Excelente,Muy Bueno,Muy Bueno,Bueno,Regular,Excelente,Bueno,Excelente
05/09/2025 19:18:06,50 a 64,Excelente,Excelente,Bueno,Muy Bueno,Excelente,Excelente,Bueno,Excelente
19/06/2025 23:29:01,50 a 64,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
19/08/2025 06:34:20,65 o más,Excelente,Excelente,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
07/07/2025 15:24:34,18 a 29,Muy Bueno,Bueno,Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
20/06/2025 22:23:03,50 a 64,Excelente,Bueno,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
31/05/2025 11:00:41,30 a 49,Excelente,Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno
05/06/2025 02:31:07,50 a 64,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
17/07/2025 13:30:10,65 o más,Excelente,Excelente,Bueno,Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno
25/07/2025 05:10:41,50 a 64,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno
04/09/2025 10:29:38,50 a 64,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente
14/09/2025 05:46:56,30 a 49,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno
19/07/2025 01:40:49,30 a 49,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Bueno,Bueno
13/07/2025 06:41:12,30 a 49,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Bueno,Muy Bueno,Bueno
17/06/2025 13:39:52,50 a 64,Muy Bueno,Regular,Bueno,Muy Bueno,Regular,Muy Bueno,Excelente,Excelente
08/09/2025 21:46:45,18 a 29,Muy Bueno,Regular,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno,Excelente
29/07/2025 03:13:45,30 a 49,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
01/07/2025 07:55:44,50 a 64,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno
25/06/2025 09:24:51,50 a 64,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Regular
18/08/2025 20:53:46,50 a 64,Excelente,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Regular,Excelente
12/09/2025 19:31:24,30 a 49,Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Excelente,Excelente
27/09/2025 14:36:24,50 a 64,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno
09/08/2025 21:52:13,18 a 29,Bueno,Regular,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente
26/09/2025 07:48:23,30 a 49,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Regular,Muy Bueno,Excelente
01/09/2025 04:06:11,65 o más,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Bueno,Muy Bueno,Excelente
19/08/2025 14:04:14,30 a 49,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente
26/08/2025 19:22:26,30 a 49,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
11/08/2025 08:11:54,50 a 64,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Regular,Excelente,Muy Bueno
17/07/2025 10:42:45,50 a 64,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Excelente
18/10/2025 12:21:27,50 a 64,Malo,Excelente,Bueno,Excelente,Muy Bueno,Bueno,Excelente,Bueno
02/06/2025 06:48:46,65 o más,Excelente,Muy Bueno,Muy Bueno,Regular,Muy Bueno,Muy Bueno,Excelente,Excelente
17/06/2025 19:37:26,50 a 64,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Regular,Muy Bueno
18/08/2025 13:59:40,50 a 64,Malo,Bueno,Bueno,Bueno,Muy Bueno,Excelente,Excelente,Bueno
04/07/2025 08:00:30,65 o más,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente,Excelente,Bueno,Muy Bueno
11/08/2025 06:01:46,50 a 64,Bueno,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Bueno
01/11/2025 12:59:34,50 a 64,Malo,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
04/10/2025 03:22:24,30 a 49,Excelente,Bueno,Excelente,Regular,Excelente,Muy Bueno,Bueno,Bueno
10/06/2025 08:19:56,50 a 64,Bueno,Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno
25/07/2025 20:35:16,30 a 49,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
01/10/2025 13:16:10,65 o más,Excelente,Muy Bueno,Excelente,Bueno,Bueno,Bueno,Regular,Muy Bueno
27/06/2025 03:32:59,50 a 64,Excelente,Excelente,Bueno,Bueno,Excelente,Bueno,Bueno,Muy Bueno
08/08/2025 11:26:03,30 a 49,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Bueno,Bueno,Bueno
07/09/2025 03:13:43,50 a 64,Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno
30/08/2025 20:17:42,30 a 49,Excelente,Bueno,Bueno,Bueno,Excelente,Muy Bueno,Bueno,Excelente
08/09/2025 21:51:49,30 a 49,Muy Bueno,Bueno,Excelente,Muy Bueno,Regular,Excelente,Excelente,Bueno
10/07/2025 01:46:37,30 a 49,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
09/07/2025 10:41:58,50 a 64,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
22/08/2025 12:36:12,50 a 64,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
16/07/2025 20:35:22,30 a 49,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Bueno,Bueno
11/10/2025 05:22:36,18 a 29,Excelente,Bueno,Excelente,Excelente,Regular,Regular,Muy Bueno,Muy Bueno
26/06/2025 04:45:17,50 a 64,Excelente,Excelente,Bueno,Bueno,Muy Bueno,Regular,Bueno,Bueno
14/10/2025 21:32:23,65 o más,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente
27/08/2025 01:27:03,50 a 64,Muy Bueno,Regular,Excelente,Muy Bueno,Regular,Excelente,Muy Bueno,Muy Bueno
30/07/2025 09:54:12,65 o más,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Excelente,Regular,Muy Bueno
09/10/2025 18:12:19,30 a 49,Excelente,Excelente,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
29/09/2025 17:24:10,50 a 64,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
26/07/2025 23:05:13,18 a 29,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente
05/09/2025 23:46:41,30 a 49,Excelente,Bueno,Bueno,Excelente,Excelente,Excelente,Regular,Muy Bueno
16/08/2025 10:01:40,30 a 49,Muy Bueno,Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Regular,Excelente
16/06/2025 21:18:15,50 a 64,Muy Bueno,Muy Bueno,Bueno,Bueno,Regular,Bueno,Muy Bueno,Muy Bueno
13/06/2025 18:12:12,30 a 49,Malo,Bueno,Muy Bueno,Excelente,Regular,Muy Bueno,Bueno,Bueno
13/09/2025 19:42:16,30 a 49,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Regular,Muy Bueno
24/06/2025 06:29:06,30 a 49,Excelente,Bueno,Excelente,Excelente,Regular,Bueno,Bueno,Muy Bueno
11/09/2025 08:56:09,50 a 64,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Bueno,Bueno
05/11/2025 10:52:44,50 a 64,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Bueno,Excelente
30/07/2025 20:23:44,18 a 29,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente
02/06/2025 03:11:57,18 a 29,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Bueno,Bueno,Excelente
23/10/2025 04:03:00,30 a 49,Muy Bueno,Excelente,Bueno,Excelente,Excelente,Bueno,Muy Bueno,Excelente
24/09/2025 13:49:18,30 a 49,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente,Excelente,Bueno,Bueno
14/07/2025 05:51:24,30 a 49,Excelente,Excelente,Excelente,Bueno,Excelente,Bueno,Muy Bueno,Bueno
16/10/2025 06:52:40,18 a 29,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Bueno
23/08/2025 14:13:16,18 a 29,Muy Bueno,Excelente,Muy Bueno,Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno
02/06/2025 09:05:14,18 a 29,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno,Bueno
16/07/2025 04:18:21,50 a 64,Excelente,Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Regular,Muy Bueno
30/09/2025 03:49:38,18 a 29,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Bueno
24/10/2025 10:00:49,30 a 49,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
26/09/2025 16:21:53,18 a 29,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
13/10/2025 14:33:23,50 a 64,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Bueno,Bueno,Excelente
26/10/2025 23:27:51,30 a 49,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
29/08/2025 17:21:37,50 a 64,Excelente,Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente
10/06/2025 17:27:42,30 a 49,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Excelente,Bueno,Muy Bueno
24/09/2025 13:58:41,30 a 49,Muy Bueno,Excelente,Muy Bueno,Bueno,Bueno,Excelente,Excelente,Muy Bueno
06/06/2025 02:57:02,30 a 49,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno
05/07/2025 08:30:42,30 a 49,Bueno,Bueno,Muy Bueno,Bueno,Regular,Muy Bueno,Muy Bueno,Excelente
24/10/2025 22:17:13,50 a 64,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente
18/10/2025 08:25:09,30 a 49,Excelente,Bueno,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
04/08/2025 00:50:49,30 a 49,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Bueno,Muy Bueno
16/10/2025 05:49:14,50 a 64,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
15/10/2025 02:11:31,30 a 49,Muy Bueno,Excelente,Excelente,Bueno,Excelente,Excelente,Muy Bueno,Bueno
31/10/2025 00:13:25,18 a 29,Excelente,Bueno,Excelente,Bueno,Bueno,Muy Bueno,Bueno,Bueno
01/06/2025 22:44:39,30 a 49,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Excelente,Excelente,Excelente
08/06/2025 16:07:38,50 a 64,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno
02/08/2025 14:17:20,30 a 49,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno
13/07/2025 12:30:57,65 o más,Excelente,Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente
02/07/2025 10:55:02,50 a 64,Muy Bueno,Excelente,Excelente,Muy Bueno,Regular,Excelente,Excelente,Excelente
23/06/2025 06:48:40,65 o más,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente
06/08/2025 19:35:05,50 a 64,Muy Bueno,Bueno,Bueno,Bueno,Regular,Muy Bueno,Excelente,Excelente
25/10/2025 22:45:56,65 o más,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente
05/07/2025 15:31:26,30 a 49,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
11/08/2025 14:49:35,30 a 49,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Excelente,Muy Bueno,Bueno
16/10/2025 22:30:32,30 a 49,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno
05/08/2025 19:01:35,30 a 49,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno
04/08/2025 03:41:12,65 o más,Bueno,Bueno,Excelente,Muy Bueno,Excelente,Excelente,Bueno,Excelente
21/06/2025 21:46:00,50 a 64,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Bueno,Excelente,Excelente
21/06/2025 05:38:16,50 a 64,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Bueno
26/09/2025 23:42:22,50 a 64,Muy Bueno,Muy Bueno,Bueno,Excelente,Regular,Excelente,Bueno,Muy Bueno
26/07/2025 19:26:22,50 a 64,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente
30/09/2025 03:25:35,65 o más,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente
19/07/2025 08:10:57,30 a 49,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente,Regular
30/10/2025 04:15:37,50 a 64,Excelente,Excelente,Excelente,Bueno,Regular,Bueno,Muy Bueno,Muy Bueno
31/05/2025 21:43:29,30 a 49,Excelente,Bueno,Excelente,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno
16/08/2025 22:00:17,50 a 64,Muy Bueno,Regular,Bueno,Excelente,Muy Bueno,Regular,Bueno,Muy Bueno
27/07/2025 11:20:15,30 a 49,Excelente,Regular,Muy Bueno,Bueno,Regular,Regular,Excelente,Excelente
15/09/2025 22:49:45,18 a 29,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente
17/07/2025 11:56:36,18 a 29,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno
10/09/2025 04:19:33,18 a 29,Excelente,Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno
01/10/2025 04:49:11,30 a 49,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
02/08/2025 02:54:53,30 a 49,Bueno,Excelente,Excelente,Excelente,Excelente,Bueno,Excelente,Excelente
26/10/2025 01:41:22,50 a 64,Muy Bueno,Bueno,Bueno,Bueno,Excelente,Excelente,Excelente,Excelente
02/11/2025 19:59:08,50 a 64,Bueno,Bueno,Excelente,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
27/09/2025 16:31:37,50 a 64,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
10/06/2025 06:35:41,30 a 49,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Excelente,Excelente
05/09/2025 04:58:21,30 a 49,Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno
19/10/2025 18:33:24,65 o más,Excelente,Excelente,Excelente,Bueno,Muy Bueno,Bueno,Bueno,Excelente
06/11/2025 16:13:06,50 a 64,Muy Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Regular,Excelente
24/08/2025 13:10:13,50 a 64,Muy Bueno,Excelente,Muy Bueno,Regular,Excelente,Bueno,Muy Bueno,Excelente
08/09/2025 09:56:41,30 a 49,Excelente,Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente
02/06/2025 15:21:04,50 a 64,Muy Bueno,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno
07/10/2025 13:29:20,30 a 49,Muy Bueno,Bueno,Excelente,Excelente,Bueno,Excelente,Excelente,Excelente
04/08/2025 08:50:48,50 a 64,Malo,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
22/06/2025 20:16:44,50 a 64,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente
29/10/2025 06:39:04,50 a 64,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno
04/10/2025 05:04:58,30 a 49,Muy Bueno,Muy Bueno,Muy Bueno,Regular,Excelente,Excelente,Muy Bueno,Bueno
28/06/2025 01:17:52,50 a 64,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Regular
16/10/2025 16:11:20,18 a 29,Malo,Muy Bueno,Bueno,Muy Bueno,Excelente,Bueno,Regular,Excelente
02/10/2025 05:07:30,18 a 29,Bueno,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno
22/06/2025 19:39:32,50 a 64,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente
01/10/2025 22:07:55,50 a 64,Malo,Bueno,Excelente,Excelente,Excelente,Excelente,Excelente,Regular
05/10/2025 13:33:58,30 a 49,Muy Bueno,Bueno,Muy Bueno,Excelente,Regular,Excelente,Excelente,Muy Bueno
02/09/2025 23:28:33,18 a 29,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
17/10/2025 05:28:33,50 a 64,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Bueno,Bueno,Bueno
01/08/2025 02:23:39,50 a 64,Bueno,Excelente,Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente
18/08/2025 14:47:56,65 o más,Excelente,Bueno,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
14/06/2025 18:53:11,50 a 64,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Bueno,Regular
04/09/2025 23:04:23,50 a 64,Muy Bueno,Muy Bueno,Excelente,Excelente,Regular,Muy Bueno,Muy Bueno,Muy Bueno
15/07/2025 20:25:00,30 a 49,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente
31/05/2025 01:59:11,50 a 64,Excelente,Excelente,Excelente,Muy Bueno,Regular,Muy Bueno,Excelente,Excelente
26/07/2025 14:30:32,50 a 64,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno
21/09/2025 08:20:45,65 o más,Excelente,Excelente,Excelente,Bueno,Regular,Muy Bueno,Bueno,Bueno
12/08/2025 09:12:09,65 o más,Muy Bueno,Muy Bueno,Bueno,Bueno,Excelente,Excelente,Excelente,Excelente
05/09/2025 23:21:46,50 a 64,Excelente,Bueno,Muy Bueno,Bueno,Excelente,Excelente,Bueno,Excelente
31/05/2025 20:47:16,30 a 49,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Excelente
14/10/2025 21:50:50,50 a 64,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente
18/10/2025 08:31:03,30 a 49,Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Bueno,Bueno
20/08/2025 09:24:46,50 a 64,Excelente,Excelente,Excelente,Muy Bueno,Regular,Excelente,Excelente,Bueno
28/09/2025 10:12:31,50 a 64,Bueno,Excelente,Bueno,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno
25/10/2025 16:50:19,50 a 64,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno
06/07/2025 14:56:12,30 a 49,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno
12/06/2025 13:35:55,50 a 64,Bueno,Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno
28/09/2025 08:16:30,50 a 64,Excelente,Bueno,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Excelente
17/07/2025 20:50:06,50 a 64,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente
25/09/2025 02:48:04,50 a 64,Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
28/10/2025 15:59:04,30 a 49,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno
14/07/2025 04:22:02,18 a 29,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
22/07/2025 19:57:14,50 a 64,Excelente,Bueno,Bueno,Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno
06/09/2025 23:50:59,65 o más,Muy Bueno,Bueno,Bueno,Bueno,Excelente,Excelente,Muy Bueno,Bueno
14/10/2025 06:06:16,30 a 49,Excelente,Excelente,Excelente,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
22/06/2025 08:48:51,65 o más,Muy Bueno,Bueno,Bueno,Excelente,Bueno,Bueno,Muy Bueno,Bueno
03/08/2025 11:17:18,30 a 49,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente
12/07/2025 09:12:12,65 o más,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno
09/07/2025 17:37:31,50 a 64,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Excelente
01/09/2025 19:09:22,65 o más,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente
28/08/2025 11:27:31,50 a 64,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
28/06/2025 14:20:28,30 a 49,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno,Bueno
07/06/2025 13:08:44,50 a 64,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Regular
17/08/2025 14:51:29,50 a 64,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Excelente
